Wilayah,GunaLahan,LuasLahan,PersentaseLokal,FaktorPengali,IntensitasHujan,DebitLimpasanExisting
Bumijaya,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","53,31",0
Bumijaya,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Bumijaya,Zona Perdagangan dan Jasa,"0,602","0,004643745393","0,950","53,31","0,0974795515"
Bumijaya,Zona Perkantoran,"0,602","0,004643745393","0,950","53,31","0,113911653"
Bumijaya,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Bumijaya,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Bumijaya,Zona Pertanian,"98,745","0,7615114696","0,560","53,31","6,749124088"
Bumijaya,Zona Peruntukan Lainnya,"0,000",0,"0,600","53,31",0
Bumijaya,Zona Ruang Terbuka Hijau,"8,626","0,06652457919","0,600","53,31","0,421855955"
Bumijaya,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Bumijaya,Zona Sarana Pelayanan Umum,"0,421","0,003249346827","0,950","53,31","0,07719492192"
Bumijaya,Zona Perumahan,"18,559","0,1431281818","0,950","53,31","5,659119306"
Bumijaya,Zona Badan Jalan,"1,607","0,01239045179","0,700","53,31","0,3432772941"
Pulo,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Pulo,Zona Badan Air,"1,686","0,003036235902","0,500","53,31","0,05091340163"
Pulo,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","53,31",0
Pulo,Zona Pembangkitan Tenaga Listrik,"1,686","0,003036235902","0,800","53,31","0,3155492281"
Pulo,Zona Perdagangan dan Jasa,"0,286","0,0005157619217","0,950","53,31","0,05344874412"
Pulo,Zona Perkantoran,"0,077","0,0001389566045","0,950","53,31","0,01797558965"
Pulo,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Pulo,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Pulo,Zona Pertanian,"414,571","0,7464553943","0,560","53,31","27,49732695"
Pulo,Zona Peruntukan Lainnya,"1,000","0,00180001799","0,600","53,31","0,08178520135"
Pulo,Zona Ruang Terbuka Hijau,"61,785","0,1112464108","0,600","53,31","2,766411532"
Pulo,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Pulo,Zona Sarana Pelayanan Umum,"4,124","0,007424967686","0,950","53,31","0,7357941369"
Pulo,Zona Perumahan,"61,708","0,111108954","0,950","53,31","18,00377753"
Pulo,Zona Badan Jalan,"8,462","0,01523706484","0,700","53,31","2,032857195"
Singamerta,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Singamerta,Zona Badan Air,"0,000",0,"0,500","53,31",0
Singamerta,Zona Kawasan Peruntukan Industri,"0,162","0,0009255439003","0,800","53,31","0,03937275702"
Singamerta,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Singamerta,Zona Perdagangan dan Jasa,"1,418","0,008103582306","0,950","53,31","0,2556951313"
Singamerta,Zona Perkantoran,"0,368","0,00210193683","0,950","53,31","0,08785770305"
Singamerta,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Singamerta,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Singamerta,Zona Pertanian,"106,519","0,6086358572","0,560","53,31","8,05857723"
Singamerta,Zona Peruntukan Lainnya,"4,904","0,02801906698","0,600","53,31","0,5209761944"
Singamerta,Zona Ruang Terbuka Hijau,"21,230","0,1213061941","0,600","53,31","1,09126972"
Singamerta,Zona Ruang Terbuka Non Hijau,"0,562","0,003210962929","0,700","53,31","0,06538767791"
Singamerta,Zona Sarana Pelayanan Umum,"1,836","0,01049326494","0,950","53,31","0,3762624096"
Singamerta,Zona Perumahan,"29,387","0,1679147897","0,950","53,31","8,34689624"
Singamerta,Zona Badan Jalan,"8,626","0,04928880112","0,700","53,31","1,680543946"
Ciruas,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Ciruas,Zona Badan Air,"0,000",0,"0,500","53,31",0
Ciruas,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","53,31",0
Ciruas,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Ciruas,Zona Perdagangan dan Jasa,"0,109","0,001348778681","0,950","53,31","0,02005907091"
Ciruas,Zona Perkantoran,"0,039","0,0004859606226","0,950","53,31","0,009155857879"
Ciruas,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Ciruas,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Ciruas,Zona Pertanian,"63,861","0,7879239415","0,560","53,31","4,514550947"
Ciruas,Zona Peruntukan Lainnya,"0,000",0,"0,600","53,31",0
Ciruas,Zona Ruang Terbuka Hijau,"1,718","0,02119688381","0,600","53,31","0,08279879888"
Ciruas,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Ciruas,Zona Sarana Pelayanan Umum,"0,205","0,002535246536","0,950","53,31","0,03723917872"
Ciruas,Zona Perumahan,"13,951","0,172132773","0,950","53,31","4,070283445"
Ciruas,Zona Badan Jalan,"1,165","0,01437641585","0,700","53,31","0,2776892212"
Cigelam,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Cigelam,Zona Badan Air,"0,000",0,"0,500","53,31",0
Cigelam,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","53,31",0
Cigelam,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Cigelam,Zona Perdagangan dan Jasa,"0,000",0,"0,950","53,31",0
Cigelam,Zona Perkantoran,"0,000",0,"0,950","53,31",0
Cigelam,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Cigelam,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Cigelam,Zona Pertanian,"445,100","0,8827491764","0,560","53,31","28,98062958"
Cigelam,Zona Peruntukan Lainnya,"0,730","0,001447335174","0,600","53,31","0,06177609535"
Cigelam,Zona Ruang Terbuka Hijau,"13,401","0,02657826322","0,600","53,31","0,6918650446"
Cigelam,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Cigelam,Zona Sarana Pelayanan Umum,"1,071","0,002123553775","0,950","53,31","0,1729528439"
Cigelam,Zona Perumahan,"27,334","0,0542105529","0,950","53,31","5,94559551"
Cigelam,Zona Badan Jalan,"16,584","0,03289111849","0,700","53,31","4,032705917"
Kadikaran,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Kadikaran,Zona Badan Air,"0,265","0,001609459081","0,500","53,31","0,009270001628"
Kadikaran,Zona Kawasan Peruntukan Industri,"0,145","0,0008796256486","0,800","53,31","0,03556438252"
Kadikaran,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Kadikaran,Zona Perdagangan dan Jasa,"0,496","0,003011384208","0,950","53,31","0,09283081407"
Kadikaran,Zona Perkantoran,"0,000",0,"0,950","53,31",0
Kadikaran,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Kadikaran,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Kadikaran,Zona Pertanian,"122,225","0,7420228765","0,560","53,31","9,978519493"
Kadikaran,Zona Peruntukan Lainnya,"1,031","0,006261988987","0,600","53,31","0,08716390646"
Kadikaran,Zona Ruang Terbuka Hijau,"11,448","0,06950249033","0,600","53,31","0,5719380103"
Kadikaran,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Kadikaran,Zona Sarana Pelayanan Umum,"0,425","0,002580620597","0,950","53,31","0,06677546992"
Kadikaran,Zona Perumahan,"23,152","0,1405542391","0,950","53,31","6,181673148"
Kadikaran,Zona Badan Jalan,"5,531","0,03357731553","0,700","53,31","1,230624121"
Kepandean,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Kepandean,Zona Badan Air,"0,000",0,"0,500","53,31",0
Kepandean,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","53,31",0
Kepandean,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Kepandean,Zona Perdagangan dan Jasa,"0,000",0,"0,950","53,31",0
Kepandean,Zona Perkantoran,"0,148","0,0008939475523","0,950","53,31","0,02806144862"
Kepandean,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Kepandean,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Kepandean,Zona Pertanian,"118,808","0,7161307026","0,560","53,31","8,097271434"
Kepandean,Zona Peruntukan Lainnya,"0,336","0,002024448561","0,600","53,31","0,02840166994"
Kepandean,Zona Ruang Terbuka Hijau,"16,253","0,09796688084","0,600","53,31","0,7839060982"
Kepandean,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Kepandean,Zona Sarana Pelayanan Umum,"1,277","0,007700121853","0,950","53,31","0,2090582458"
Kepandean,Zona Perumahan,"25,728","0,155076285","0,950","53,31","6,719513837"
Kepandean,Zona Badan Jalan,"3,353","0,0202076136","0,700","53,31","0,7775004462"
Pamong,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Pamong,Zona Badan Air,"0,000",0,"0,500","53,31",0
Pamong,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","53,31",0
Pamong,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Pamong,Zona Perdagangan dan Jasa,"0,097","0,0004152099828","0,950","53,31","0,01737046839"
Pamong,Zona Perkantoran,"0,025","0,0001079330609","0,950","53,31","0,00483168"
Pamong,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Pamong,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Pamong,Zona Pertanian,"192,685","0,8220632226","0,560","53,31","14,23889599"
Pamong,Zona Peruntukan Lainnya,"0,450","0,001921972113","0,600","53,31","0,04115744206"
Pamong,Zona Ruang Terbuka Hijau,"16,810","0,07171572356","0,600","53,31","0,9511446903"
Pamong,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Pamong,Zona Sarana Pelayanan Umum,"0,604","0,00257720869","0,950","53,31","0,09833167894"
Pamong,Zona Perumahan,"19,340","0,08251165503","0,950","53,31","5,078924825"
Pamong,Zona Badan Jalan,"4,380","0,01868707501","0,700","53,31","0,9517417224"
Penggalang,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Penggalang,Zona Badan Air,"0,000",0,"0,500","53,31",0
Penggalang,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","53,31",0
Penggalang,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Penggalang,Zona Perdagangan dan Jasa,"0,000",0,"0,950","53,31",0
Penggalang,Zona Perkantoran,"0,020","0,00006211379502","0,950","53,31","0,004207428846"
Penggalang,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
